Name,Calories, Protein,Carbs,Fats
Hot tea (Garam Chai),16.14,2.58,0.39,0.53
Instant coffee,23.16,3.65,0.64,0.75
Espreso coffee,51.54,6.62,1.75,2.14
Iced tea,10.34,2.70,0.03,0.01
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03
Fruit Punch (with squashes),23.13,5.99,0.07,0.02
Lemonade,20.80,5.48,0.03,0.01
Lem-o-gin,21.52,5.55,0.08,0.03
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11
Coco pine cooler,32.75,5.72,0.56,1.00
Summer cooler,22.43,5.43,0.37,0.04
Hot cocoa,90.10,9.23,3.36,4.56
Cold coffee with ice cream,67.85,11.24,1.57,2.11
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37
Mango milkshake (Aam milkshake),56.90,7.23,1.73,2.35
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52
Egg nog,97.14,8.15,4.78,5.11
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68
Lassi (salted),18.84,1.86,1.35,0.72
Cheese and chilli sandwich ,218.11,27.40,6.80,9.78
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.80
Cucumber sandwich (Kheere ka sandwich),188.60,25.77,4.80,8.00
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.10,8.20,12.80
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27
Chicken sandwich,253.27,25.38,13.12,11.75
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14
Rainbow sandwich,272.75,34.26,7.75,12.54
Club sandwich ,235.32,18.51,7.31,15.12
Vegetarian club sandwich,198.33,19.68,5.45,11.33
Pin wheel sandwich,311.52,14.00,8.77,24.93
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.30,9.12
Salami sandwich,255.59,21.54,8.70,15.51
Vegetable and mayonnaise sandwich,244.26,23.20,4.47,15.40
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.90,7.66,10.51
Sweet open sandwich,244.25,39.24,4.99,8.15
Mushroom and cheese sandwich (toasted),227.42,21.01,7.79,13.01
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,21.42,6.82,12.95
