Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Hot tea (Garam Chai),16.14,2.58,0.39,0.53,2.58,0.00,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86
Instant coffee,23.16,3.65,0.64,0.75,3.62,0.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25
Espreso coffee,51.54,6.62,1.75,2.14,6.53,0.00,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49
Iced tea,10.34,2.70,0.03,0.01,2.70,0.00,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40
Raw mango drink (Aam panna),35.92,9.05,0.16,0.03,7.49,0.61,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23
Fruit Punch (with fresh juices),36.12,9.38,0.14,0.03,9.25,0.06,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01,0.03,0.00,0.13,0.00,0.02,0.00,0.05,0.05,0.00,0.56,0.00,4.51,0.02,0.00,0.04,0.04,0.01,0.15,4.51
Fruit Punch (with squashes),23.13,5.99,0.07,0.02,5.88,0.17,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.00,0.08,0.00,0.01,0.00,0.03,0.05,0.00,0.65,0.00,1.82,0.00,0.00,0.02,0.02,0.01,0.08,1.82
Lemonade,20.80,5.48,0.03,0.01,5.47,0.02,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60
Lem-o-gin,21.52,5.55,0.08,0.03,5.38,0.13,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.00,0.08,0.00,0.02,0.00,0.01,0.10,0.00,1.00,0.00,0.82,0.00,0.00,0.02,0.01,0.01,0.03,0.82
Cumin infused water (Jeere/Zeere ka pani),9.09,1.86,0.17,0.11,1.46,0.46,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93
Coco pine cooler,32.75,5.72,0.56,1.00,5.52,0.26,3.40,17.81,13.47,6.59,23.20,66.65,0.13,0.01,0.31,0.00,0.13,0.00,0.07,10.53,0.07,0.07,0.00,0.84,0.00,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92
Summer cooler,22.43,5.43,0.37,0.04,5.21,0.20,0.00,8.13,11.46,7.62,1.57,93.06,0.28,0.01,0.17,0.00,0.16,0.00,0.04,0.00,0.15,0.14,0.00,2.31,0.00,12.92,0.03,0.01,0.11,0.12,0.03,0.45,12.92
Hot cocoa,90.10,9.23,3.36,4.56,9.01,0.00,0.00,113.66,101.41,16.05,24.20,132.15,0.31,0.09,0.90,0.00,0.01,0.00,0.42,0.00,0.22,0.00,0.00,0.02,0.00,7.22,0.03,0.10,0.10,0.32,0.04,1.87,7.22
Cold coffee with ice cream,67.85,11.24,1.57,2.11,11.18,0.01,1.17,53.29,44.98,7.26,13.84,90.27,0.12,0.03,0.51,0.00,0.02,0.00,0.16,3.62,0.11,0.00,0.00,0.04,0.00,3.15,0.02,0.06,0.29,0.18,0.02,1.54,3.15
Banana milkshake (Kele milkshake),65.31,9.15,1.84,2.37,7.96,0.26,0.00,62.64,52.77,7.92,13.61,102.43,0.13,0.03,0.49,0.00,0.05,0.00,0.19,0.00,0.13,0.02,0.00,0.25,0.00,5.74,0.02,0.06,0.10,0.22,0.08,1.21,5.74
Mango milkshake (Aam milkshake),56.90,7.23,1.73,2.35,7.15,0.26,0.00,62.33,50.50,6.17,13.27,79.07,0.15,0.03,0.75,0.00,0.04,0.00,0.19,0.00,0.15,0.52,0.00,0.67,0.00,15.10,0.02,0.06,0.08,0.19,0.04,1.23,15.10
Pineapple milkshake (Ananas milkshake),55.72,7.62,1.66,2.23,7.60,0.00,0.00,59.92,47.88,5.14,14.05,65.68,0.11,0.02,0.47,0.00,0.12,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,4.79,0.02,0.06,0.06,0.18,0.03,0.98,4.79
Orange milkshake (Narangi milkshake),57.42,7.11,1.86,2.52,7.08,0.00,0.00,67.42,55.47,5.30,14.63,73.43,0.11,0.02,0.54,0.00,0.01,0.00,0.19,0.00,0.14,0.00,0.00,0.00,0.00,5.28,0.02,0.06,0.05,0.20,0.02,1.16,5.28
Egg nog,97.14,8.15,4.78,5.11,8.06,0.02,60.30,102.13,107.24,8.99,40.65,115.14,0.43,0.04,7.43,0.00,0.02,0.00,0.47,32.62,0.42,0.08,0.14,0.10,2.41,13.81,0.03,0.12,0.08,0.51,0.06,4.57,13.81
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,6.51,0.00,2.49,45.65,38.46,4.38,18.31,63.50,0.03,0.01,0.45,0.00,0.00,0.00,0.16,6.33,0.01,0.00,0.00,0.00,0.00,4.07,0.01,0.06,0.05,0.11,0.02,0.59,4.07
Lassi (salted),18.84,1.86,1.35,0.72,1.84,0.02,2.60,47.78,40.39,4.84,65.40,67.37,0.04,0.00,0.47,0.00,0.00,0.00,0.17,6.62,0.01,0.01,0.00,0.09,0.00,4.27,0.01,0.06,0.05,0.12,0.02,0.62,4.27
Cheese and chilli sandwich ,218.11,27.40,6.80,9.78,2.38,2.08,23.05,113.79,89.98,18.86,437.50,142.31,0.99,0.10,4.57,0.00,0.32,0.02,0.56,97.40,0.25,0.24,0.00,5.85,0.00,28.95,0.14,0.09,1.00,0.10,0.07,1.77,28.95
Egg sandwich (Ande ka sandwich),285.96,29.16,8.69,15.80,1.86,1.88,121.63,110.13,107.32,18.88,461.67,129.59,1.44,0.11,14.16,0.00,0.34,0.02,0.77,190.34,0.70,0.13,0.21,1.94,3.60,29.40,0.15,0.10,0.98,0.37,0.08,4.54,29.40
Cucumber sandwich (Kheere ka sandwich),188.60,25.77,4.80,8.00,1.64,2.45,17.53,87.84,62.30,21.60,362.64,154.06,1.02,0.09,3.58,0.00,0.31,0.02,0.46,78.85,0.21,0.62,0.00,4.69,0.00,21.34,0.12,0.04,0.94,0.19,0.06,1.19,21.34
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,29.10,8.20,12.80,4.10,2.33,34.35,199.73,195.37,21.52,571.96,143.39,1.04,0.10,4.73,0.00,0.54,0.02,0.91,134.35,0.39,0.15,0.00,2.15,0.00,21.66,0.14,0.09,0.90,0.14,0.07,1.23,21.66
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,26.92,7.92,12.27,2.85,1.97,32.88,191.20,187.97,20.97,549.71,148.52,1.00,0.09,4.52,0.00,0.32,0.03,0.87,128.58,0.35,2.65,0.00,6.82,0.00,20.91,0.13,0.09,0.95,0.15,0.07,1.23,20.91
Chicken sandwich,253.27,25.38,13.12,11.75,1.60,1.64,42.06,89.56,121.57,21.59,389.67,196.08,1.19,0.19,10.83,0.00,0.30,0.02,0.70,84.92,0.32,0.11,0.53,1.37,10.74,19.06,0.15,0.07,3.94,0.45,0.24,1.62,19.06
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,28.54,9.53,16.14,2.82,4.03,17.53,94.03,134.27,56.19,364.99,252.82,1.58,0.28,4.21,0.00,0.63,0.11,1.06,78.85,1.12,4.00,0.00,6.79,0.00,36.28,0.23,0.07,3.23,0.25,0.10,0.59,36.28
Rainbow sandwich,272.75,34.26,7.75,12.54,4.05,2.10,31.16,172.04,149.85,20.43,612.49,143.97,1.20,0.10,5.00,0.00,0.36,0.02,0.76,128.38,0.36,0.13,0.00,2.15,0.00,21.69,0.20,0.09,1.16,0.08,0.06,0.68,21.69
Club sandwich ,235.32,18.51,7.31,15.12,2.01,1.81,31.26,115.68,128.02,18.60,461.66,169.00,0.86,0.08,3.73,0.00,0.23,0.01,0.87,80.88,1.19,1.91,0.00,13.56,0.00,19.82,0.16,0.09,1.33,0.36,0.10,1.98,19.82
Vegetarian club sandwich,198.33,19.68,5.45,11.33,2.08,2.06,23.13,122.44,120.49,18.65,305.36,159.77,0.77,0.07,3.11,0.00,0.24,0.01,0.58,85.76,1.23,3.27,0.00,15.00,0.00,21.16,0.10,0.07,0.78,0.20,0.07,1.81,21.16
Pin wheel sandwich,311.52,14.00,8.77,24.93,1.45,0.93,179.52,67.75,111.59,13.69,374.39,110.30,1.36,0.08,20.07,0.00,0.18,0.02,0.80,109.78,6.65,0.12,0.38,0.77,6.55,32.44,0.09,0.13,0.48,0.70,0.12,8.38,32.44
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,29.04,5.30,9.12,5.30,3.66,21.05,118.05,97.76,31.49,302.88,228.82,1.80,0.14,3.60,0.00,0.63,0.45,0.78,89.31,0.25,0.45,0.00,14.90,0.00,22.32,0.13,0.07,1.44,0.21,0.10,1.71,22.32
Salami sandwich,255.59,21.54,8.70,15.51,2.00,1.97,33.35,73.54,88.61,20.81,662.75,194.06,1.11,0.10,4.52,0.00,0.26,0.02,1.05,64.51,0.22,0.43,0.00,3.54,0.00,17.03,0.25,0.09,2.07,0.51,0.13,2.39,17.03
Vegetable and mayonnaise sandwich,244.26,23.20,4.47,15.40,2.35,2.35,21.87,79.53,55.55,16.70,342.70,143.10,0.91,0.09,3.17,0.00,0.30,0.02,0.42,78.70,2.66,1.79,0.00,9.37,0.00,24.97,0.11,0.06,0.86,0.11,0.08,0.98,24.97
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,25.90,7.66,10.51,2.09,1.77,95.63,95.71,95.47,18.11,423.26,150.47,1.30,0.10,12.16,0.00,0.31,0.03,0.69,124.29,0.67,1.35,0.18,3.87,3.07,27.45,0.14,0.09,0.99,0.35,0.09,4.08,27.45
